query_id,strategy,source_label,heterogeneous,subgraph_size,reason,center,density
,,,,823,Low density,633910,0.0112
,,,,371,Low density,1878984,0.0093
,,,,121,Low density,429883,0.039
,,,,7,Low density,951363,0.1429
,,,,232,Low density,846080,0.024
,,,,12,Low density,1107078,0.0833
,,,,133,Low density,1726222,0.0665
,,,,2,Too few nodes,1637483,0.5
,,,,15,Low density,1969808,0.0952
,,,,54,Low density,344392,0.0349
,,,,11,Low density,740763,0.1091
,,,,2,Too few nodes,469365,0.5
,,,,1,Too few nodes,1347745,0
,,,,6,Low density,762951,0.1667
,,,,3,Too few nodes,1579839,0.5
,,,,2,Too few nodes,901120,0.5
,,,,8,Low density,1042192,0.1786
,,,,10,Low density,514358,0.1222
,,,,1,Too few nodes,1142282,0
,,,,26,Low density,1367937,0.0492
,,,,1,Too few nodes,1188002,0
,,,,8,Low density,1433909,0.1429
,,,,24,Low density,556233,0.1304
,,,,1647,Low density,328727,0.0067
,,,,39,Low density,1831501,0.0614
,,,,3,Too few nodes,27311,0.3333
,,,,9,Low density,652707,0.1528
,,,,71,Low density,1029469,0.0557
,,,,12,Low density,194845,0.1136
,,,,439,Low density,1389504,0.0128
,,,,8,Low density,889093,0.125
,,,,16,Low density,692195,0.175
,,,,40,Low density,623654,0.1006
,,,,70,Low density,558585,0.0565
,,,,26,Low density,1269842,0.0431
,,,,162,Low density,570080,0.0311
,,,,1,Too few nodes,1196802,0
,,,,13,Low density,1017885,0.0833
,,,,61,Low density,1334815,0.0648
,,,,3,Too few nodes,31558,0.3333
,,,,19,Low density,1502293,0.1199
,,,,10,Low density,626610,0.1333
,,,,17,Low density,1079101,0.1029
,,,,236,Low density,1962564,0.0138
,,,,1,Too few nodes,1186041,0
,,,,22,Low density,1058344,0.0455
,,,,3,Too few nodes,246899,0.3333
,,,,1,Too few nodes,1330384,0
,,,,12,Low density,1343087,0.1515
,,,,4,Too few nodes,1275367,0.25
,,,,11,Low density,634399,0.1
,,,,191,Low density,529537,0.0195
,,,,1,Too few nodes,1184929,0
,,,,2,Too few nodes,1582990,1.0
,,,,1,Too few nodes,1177327,0
,,,,22,Low density,129,0.0541
,,,,17,Low density,1246956,0.0662
,,,,12,Low density,16027,0.0833
,,,,54,Low density,1722781,0.0531
,,,,1,Too few nodes,1427300,0
,,,,20,Low density,923548,0.0842
,,,,9,Low density,1231903,0.1111
,,,,223,Low density,1844913,0.0351
,,,,21,Low density,141894,0.1548
,,,,1,Too few nodes,1694210,0
,,,,13,Low density,62276,0.1026
,,,,75,Low density,1865251,0.027
,,,,7,Low density,1436149,0.1667
,,,,1,Too few nodes,1179708,0
,,,,16,Low density,1414921,0.0625
,,,,11,Low density,1279862,0.1364
,,,,40,Low density,1107346,0.1071
,,,,59,Low density,140109,0.0646
,,,,1,Too few nodes,1374783,0
,,,,17,Low density,1061183,0.1029
,,,,70,Low density,1324809,0.0333
,,,,7,Low density,1643290,0.1429
,,,,24,Low density,969061,0.1123
,,,,31,Low density,140002,0.0419
,,,,14,Low density,922018,0.1429
,,,,3,Too few nodes,982335,0.3333
,,,,24,Low density,371132,0.0616
,,,,16,Low density,1009540,0.1542
,,,,39,Low density,556317,0.0547
,,,,3,Too few nodes,557500,0.3333
,,,,396,Low density,1336554,0.0219
,,,,20,Low density,431846,0.0711
,,,,10,Low density,725821,0.1778
,,,,37,Low density,1584610,0.0661
,,,,1,Too few nodes,1735501,0
,,,,11,Low density,1372108,0.0909
,,,,9,Low density,557759,0.125
,,,,9,Low density,971678,0.1667
,,,,2,Too few nodes,79315,0.5
,,,,7,Low density,861979,0.1667
,,,,3,Too few nodes,416010,0.3333
,,,,9,Low density,81067,0.1389
,,,,4,Too few nodes,134641,0.25
,,,,3,Too few nodes,75689,0.3333
,,,,10,Low density,1942169,0.1
,,,,17,Low density,1214875,0.0662
,,,,8,Low density,464593,0.1786
,,,,7,Low density,1535436,0.1905
,,,,33,Low density,968841,0.0407
,,,,28,Low density,343548,0.0728
,,,,1,Too few nodes,1695038,0
,,,,8,Low density,647907,0.1786
,,,,1,Too few nodes,1440066,0
,,,,10,Low density,1064211,0.1333
,,,,1,Too few nodes,1147220,0
,,,,4,Too few nodes,801119,0.25
,,,,65,Low density,1236512,0.0385
,,,,1,Too few nodes,1781189,0
,,,,127,Low density,1106572,0.0237
,,,,11,Low density,1577243,0.1091
,,,,21,Low density,215225,0.0714
,,,,36,Low density,1776728,0.077
,,,,8,Low density,1476365,0.125
,,,,1,Too few nodes,1427929,0
,,,,2,Too few nodes,1361980,0.5
,,,,47,Low density,1739960,0.0453
,,,,40,Low density,951329,0.0532
,,,,2,Too few nodes,1656922,0.5
,,,,80,Low density,223742,0.04
,,,,6,Low density,1699901,0.1667
,,,,3,Too few nodes,61629,0.3333
,,,,4,Too few nodes,602793,0.25
,,,,29,Low density,239980,0.0948
,,,,9,Low density,1694700,0.1667
,,,,3,Too few nodes,741802,0.3333
,,,,18,Low density,348057,0.0817
,,,,2,Too few nodes,1581680,0.5
,,,,2,Too few nodes,1279009,0.5
,,,,32,Low density,396355,0.0413
,,,,21,Low density,723807,0.069
,,,,4,Too few nodes,1070141,0.25
,,,,1,Too few nodes,1163573,0
,,,,32,Low density,829272,0.1048
,,,,10,Low density,1274363,0.1111
,,,,8,Low density,158627,0.1429
,,,,12,Low density,1213641,0.0833
,,,,20,Low density,432421,0.1237
,,,,3,Too few nodes,531313,0.3333
,,,,15,Low density,503567,0.1571
,,,,3,Too few nodes,373726,0.3333
,,,,107,Low density,1355392,0.0277
,,,,23,Low density,70229,0.0435
,,,,26,Low density,1923348,0.0754
,,,,15,Low density,1067475,0.0857
,,,,37,Low density,160251,0.0788
,,,,8,Low density,1655345,0.125
,,,,4,Too few nodes,1074983,0.25
,,,,36,Low density,454399,0.046
,,,,554,Low density,360322,0.0065
,,,,65,Low density,461809,0.0611
,,,,20,Low density,803293,0.0763
,,,,24,Low density,832019,0.0833
,,,,2,Too few nodes,993307,0.5
,,,,3,Too few nodes,1724564,0.3333
,,,,94,Low density,1890874,0.0331
,,,,112,Low density,483572,0.0419
,,,,62,Low density,1518965,0.041
,,,,18,Low density,964288,0.0915
,,,,17,Low density,693450,0.0662
,,,,357,Low density,120073,0.0133
,,,,34,Low density,1019425,0.0784
,,,,3,Too few nodes,130118,0.3333
,,,,2,Too few nodes,1419615,0.5
,,,,20,Low density,1436065,0.1816
,,,,2,Too few nodes,643175,0.5
,,,,23,Low density,890907,0.0593
,,,,2,Too few nodes,770328,0.5
,,,,147,Low density,160749,0.0197
,,,,23,Low density,1477429,0.081
,,,,1,Too few nodes,1258308,0
,,,,6,Low density,687207,0.1667
,,,,4,Too few nodes,79835,0.25
,,,,2,Too few nodes,1327341,0.5
,,,,123,Low density,1910579,0.0548
,,,,2,Too few nodes,224549,0.5
,,,,25,Low density,111609,0.1183
,,,,2,Too few nodes,1484234,0.5
,,,,32,Low density,272833,0.0645
,,,,3,Too few nodes,1429371,0.5
,,,,24,Low density,607293,0.0489
,,,,18,Low density,35004,0.0784
,,,,129,Low density,710315,0.0169
,,,,69,Low density,327892,0.0256
,,,,14,Low density,640235,0.0879
,,,,16,Low density,396219,0.0792
,,,,338,Low density,1232529,0.0131
,,,,2,Too few nodes,1421395,0.5
,,,,19,Low density,1123201,0.0848
,,,,18,Low density,203067,0.0784
,,,,10,Low density,955833,0.1333
,,,,90,Low density,375301,0.0227
,,,,4,Too few nodes,51255,0.25
,,,,4,Too few nodes,1074693,0.25
,,,,53,Low density,429696,0.0396
,,,,63,Low density,1235457,0.0348
,,,,13,Low density,1284461,0.0769
,,,,3,Too few nodes,1596494,0.3333
,,,,17,Low density,681211,0.0809
,,,,22,Low density,1983441,0.0779
,,,,1,Too few nodes,1813364,0
,,,,14,Low density,292942,0.0714
,,,,11,Low density,770441,0.1182
,,,,11,Low density,1521433,0.0909
,,,,3,Too few nodes,824798,0.3333
,,,,10,Low density,256905,0.1222
,,,,371,Low density,213000,0.0128
,,,,67,Low density,41775,0.0934
,,,,14,Low density,1016824,0.1648
,,,,32,Low density,1665649,0.0806
,,,,7,Low density,1502441,0.1905
,,,,93,Low density,1537466,0.0231
,,,,66,Low density,420804,0.0296
,,,,44,Low density,1936946,0.0439
,,,,58,Low density,1422453,0.039
,,,,16,Low density,606574,0.0625
,,,,76,Low density,957936,0.0433
,,,,412,Low density,239271,0.0146
,,,,189,Low density,250404,0.0173
,,,,344,Low density,1669846,0.0247
,,,,4,Too few nodes,342437,0.25
,,,,3,Too few nodes,1533076,0.3333
,,,,12,Low density,897959,0.1364
,,,,56,Low density,328387,0.0302
,,,,85,Low density,1937878,0.0315
,,,,171,Low density,1120451,0.038
,,,,74,Low density,1759852,0.0383
,,,,14,Low density,1417889,0.0714
,,,,12,Low density,973591,0.1364
,,,,9,Low density,961978,0.1806
,,,,12,Low density,47718,0.1061
,,,,25,Low density,1237348,0.0717
,,,,18,Low density,923795,0.085
,,,,4,Too few nodes,1115856,0.25
,,,,88,Low density,1674960,0.0251
,,,,13,Low density,316374,0.0897
,,,,392,Low density,524717,0.0104
,,,,16,Low density,335566,0.1333
,,,,3,Too few nodes,1412494,0.3333
,,,,14,Low density,1205096,0.0714
,,,,409,Low density,1103443,0.025
,,,,13,Low density,1805465,0.0769
,,,,28,Low density,439281,0.0701
,,,,8,Low density,1373402,0.1786
,,,,3,Too few nodes,473619,0.3333
,,,,21,Low density,1815574,0.1143
,,,,3,Too few nodes,712540,0.3333
,,,,19,Low density,221838,0.0614
,,,,8,Low density,483972,0.1607
,,,,14,Low density,495454,0.1593
,,,,4,Too few nodes,32396,0.25
,,,,24,Low density,1313598,0.1232
,,,,21,Low density,1677216,0.0667
,,,,2,Too few nodes,247950,0.5
,,,,14,Low density,1744550,0.0714
,,,,2,Too few nodes,433344,0.5
,,,,464,Low density,885476,0.0132
,,,,3,Too few nodes,1965584,0.3333
,,,,2,Too few nodes,738533,0.5
,,,,4,Too few nodes,725986,0.25
,,,,1,Too few nodes,1424272,0
,,,,49,Low density,231551,0.0293
,,,,3,Too few nodes,1597396,0.5
,,,,43,Low density,735633,0.0692
,,,,49,Low density,1489433,0.0302
,,,,4,Too few nodes,1504622,0.25
,,,,37,Low density,1247315,0.033
,,,,14,Low density,1224749,0.0714
,,,,42,Low density,1283561,0.0325
,,,,29,Low density,544967,0.0837
,,,,29,Low density,1719264,0.0591
,,,,127,Low density,1104053,0.0237
,,,,6,Low density,648903,0.1667
,,,,10,Low density,235469,0.1444
,,,,3,Too few nodes,255850,0.3333
,,,,51,Low density,1619055,0.0329
,,,,231,Low density,1215266,0.0212
,,,,82,Low density,570190,0.022
,,,,2,Too few nodes,25496,0.5
,,,,659,Low density,1417501,0.0127
,,,,4,Too few nodes,319364,0.3333
,,,,1,Too few nodes,1572728,0
,,,,6,Low density,611080,0.1667
,,,,7,Low density,805089,0.1429
,,,,650,Low density,1880695,0.0138
,,,,40,Low density,1109963,0.1071
,,,,66,Low density,1720509,0.0366
,,,,100,Low density,1425825,0.0203
,,,,6,Low density,383415,0.1667
,,,,519,Low density,929458,0.0092
,,,,16,Low density,706594,0.0625
,,,,13,Low density,599002,0.1026
,,,,17,Low density,1364629,0.0625
,,,,6,Low density,244339,0.1667
,,,,81,Low density,820954,0.0432
,,,,109,Low density,1097033,0.037
,,,,1,Too few nodes,1489432,0
,,,,4,Too few nodes,332246,0.3333
,,,,1,Too few nodes,1260476,0
,,,,4,Too few nodes,812099,0.25
,,,,1,Too few nodes,1568167,0
,,,,215,Low density,9839,0.0166
,,,,15,Low density,1057513,0.1095
,,,,3,Too few nodes,420774,0.3333
,,,,6,Low density,1751857,0.1667
,,,,90,Low density,136009,0.0196
,,,,812,Low density,1843935,0.0096
,,,,16,Low density,1260946,0.0667
,,,,1,Too few nodes,1200044,0
,,,,155,Low density,1807785,0.0221
,,,,12,Low density,716639,0.1591
,,,,14,Low density,1310834,0.0769
,,,,120,Low density,1557122,0.0174
,,,,689,Low density,261170,0.0072
,,,,29,Low density,1523093,0.0788
,,,,3,Too few nodes,1496856,0.3333
,,,,113,Low density,1855107,0.0324
,,,,25,Low density,1303142,0.0517
,,,,1,Too few nodes,1605472,0
,,,,11,Low density,674437,0.1091
,,,,1,Too few nodes,1345228,0
,,,,27,Low density,1876671,0.0613
,,,,1,Too few nodes,1159423,0
,,,,22,Low density,195218,0.0823
,,,,2,Too few nodes,1593810,0.5
,,,,29,Low density,933127,0.0579
,,,,11,Low density,1054011,0.1545
,,,,34,Low density,834829,0.0651
,,,,55,Low density,1798497,0.0343
,,,,4,Too few nodes,1518450,0.25
,,,,3,Too few nodes,743130,0.3333
,,,,3,Too few nodes,29199,0.3333
,,,,379,Low density,1565965,0.0226
,,,,167,Low density,1599362,0.0221
,,,,22,Low density,638397,0.0974
,,,,3,Too few nodes,455401,0.3333
,,,,22,Low density,1612288,0.0563
,,,,1,Too few nodes,1172505,0
,,,,54,Low density,221873,0.0259
,,,,14,Low density,484662,0.1813
,,,,120,Low density,218545,0.0228
,,,,3,Too few nodes,1074229,0.3333
,,,,4,Too few nodes,762785,0.25
,,,,11,Low density,324430,0.1091
,,,,4,Too few nodes,161113,0.3333
,,,,9,Low density,1051566,0.1528
,,,,8,Low density,139506,0.1786
,,,,15,Low density,603059,0.0857
,,,,1,Too few nodes,1627144,0
,,,,17,Low density,800564,0.0919
,,,,24,Low density,665937,0.067
,,,,26,Low density,1388206,0.0477
,,,,3,Too few nodes,663911,0.3333
,,,,53,Low density,1342054,0.0279
,,,,4,Too few nodes,1304078,0.25
,,,,4,Too few nodes,1086269,0.25
,,,,1,Too few nodes,1508332,0
,,,,10,Low density,626620,0.1333
,,,,3,Too few nodes,447104,0.3333
,,,,39,Low density,1105376,0.1977
,,,,43,Low density,118490,0.0388
,,,,8,Low density,980689,0.1429
,,,,95,Low density,1777761,0.0279
,,,,3,Too few nodes,758312,0.3333
,,,,18,Low density,1522575,0.1667
,,,,50,Low density,948693,0.0502
,,,,4,Too few nodes,1541770,0.25
,,,,10,Low density,404368,0.1556
,,,,41,Low density,1044407,0.05
,,,,34,Low density,303758,0.0508
,,,,55,Low density,1112375,0.068
,,,,123,Low density,1208610,0.0243
,,,,4,Too few nodes,839952,0.25
,,,,22,Low density,1766663,0.0606
,,,,84,Low density,1411995,0.0241
,,,,89,Low density,921323,0.0286
,,,,38,Low density,1270431,0.0555
,,,,3,Too few nodes,750738,0.3333
,,,,1,Too few nodes,1516936,0
,,,,3,Too few nodes,930654,0.3333
,,,,1,Too few nodes,1501791,0
,,,,14,Low density,263341,0.0769
,,,,8,Low density,38163,0.1786
,,,,1,Too few nodes,1190946,0
,,,,18,Low density,578737,0.1373
,,,,45,Low density,158238,0.0308
,,,,3,Too few nodes,191361,0.3333
,,,,3,Too few nodes,636380,0.3333
,,,,9,Low density,213388,0.1944
,,,,44,Low density,285483,0.0539
,,,,18,Low density,1049617,0.1176
,,,,19,Low density,1730466,0.0526
,,,,254,Low density,1756695,0.0256
,,,,3,Too few nodes,1529843,0.3333
,,,,9,Low density,470616,0.1111
,,,,8,Low density,997598,0.1786
,,,,32,Low density,1023259,0.0393
,,,,29,Low density,670602,0.048
,,,,1,Too few nodes,1162222,0
,,,,3,Too few nodes,1939913,0.3333
,,,,4,Too few nodes,1050506,0.25
,,,,3,Too few nodes,1324035,0.3333
,,,,7,Low density,1716615,0.1667
,,,,11,Low density,1344813,0.1091
,,,,60,Low density,1428894,0.0542
,,,,200,Low density,473741,0.028
,,,,24,Low density,634838,0.087
,,,,18,Low density,1676954,0.0621
,,,,130,Low density,1726598,0.025
,,,,55,Low density,185808,0.0468
,,,,15,Low density,902214,0.1143
,,,,3,Too few nodes,895239,0.3333
,,,,71,Low density,1870183,0.0225
,,,,46,Low density,1932419,0.0348
,,,,184,Low density,1239906,0.0136
,,,,4,Too few nodes,1357457,0.25
,,,,1,Too few nodes,1146070,0
,,,,15,Low density,1232581,0.0714
,,,,73,Low density,481910,0.0261
,,,,44,Low density,577934,0.065
,,,,58,Low density,664456,0.0339
,,,,19,Low density,1216180,0.0673
,,,,49,Low density,125138,0.0349
,,,,41,Low density,1572311,0.0366
,,,,270,Low density,764158,0.0224
,,,,15,Low density,1548496,0.0952
,,,,16,Low density,571772,0.0792
,,,,13,Low density,1615412,0.0962
,,,,84,Low density,3094,0.0273
,,,,11,Low density,708104,0.1273
,,,,11,Low density,1968872,0.0909
,,,,16,Low density,1046355,0.1458
,,,,8,Low density,196667,0.1786
,,,,12,Low density,452776,0.0833
,,,,21,Low density,1746702,0.0595
,,,,15,Low density,1894548,0.1048
,,,,12,Low density,668403,0.1439
,,,,11,Low density,717052,0.1455
,,,,155,Low density,1694805,0.0266
,,,,15,Low density,897141,0.0857
,,,,3,Too few nodes,78988,0.3333
,,,,119,Low density,1842426,0.0152
,,,,28,Low density,821401,0.0608
,,,,477,Low density,389362,0.0139
,,,,7,Low density,1422657,0.1905
,,,,94,Low density,105700,0.0265
,,,,23,Low density,1813701,0.0553
,,,,78,Low density,1761218,0.0311
,,,,1908,Low density,74980,0.006
,,,,350,Low density,1892098,0.0183
,,,,3,Too few nodes,1096804,0.3333
,,,,95,Low density,1774091,0.0409
,,,,296,Low density,1812186,0.0264
,,,,4,Too few nodes,153207,0.25
,,,,13,Low density,719470,0.0769
,,,,103,Low density,1760646,0.0273
,,,,11,Low density,565528,0.0909
,,,,29,Low density,565130,0.0554
,,,,33,Low density,66024,0.1439
,,,,70,Low density,1919668,0.0497
,,,,1,Too few nodes,1714552,0
,,,,9,Low density,221731,0.1111
,,,,1877,Low density,122116,0.0054
,,,,15,Low density,499228,0.0714
,,,,7,Low density,310182,0.1905
,,,,23,Low density,1064503,0.0731
,,,,78,Low density,1751522,0.0298
,,,,66,Low density,1396497,0.0497
,,,,6,Low density,1967983,0.1667
,,,,2,Too few nodes,1090165,0.5
,,,,13,Low density,102380,0.1346
,,,,11,Low density,1064502,0.1273
,,,,14,Low density,981993,0.1374
,,,,48,Low density,347824,0.0297
,,,,1,Too few nodes,1618023,0
,,,,1,Too few nodes,1366879,0
,,,,2,Too few nodes,772790,0.5
,,,,11,Low density,235484,0.1727
,,,,6,Low density,1076621,0.1667
,,,,8,Low density,850870,0.1607
,,,,2,Too few nodes,1420935,0.5
,,,,15,Low density,766253,0.1
,,,,46,Low density,1245579,0.0459
,,,,13,Low density,1680886,0.0833
,,,,38,Low density,739832,0.0541
,,,,23,Low density,387610,0.1008
,,,,3,Too few nodes,1001122,0.3333
,,,,1,Too few nodes,1336203,0
,,,,13,Low density,848330,0.1731
,,,,14,Low density,783656,0.1099
,,,,10,Low density,463783,0.1111
,,,,27,Low density,231579,0.047
,,,,3,Too few nodes,739981,0.3333
,,,,10,Low density,919900,0.1556
,,,,74,Low density,1822092,0.0352
,,,,3,Too few nodes,378833,0.3333
,,,,15,Low density,859258,0.1095
,,,,15,Low density,1707834,0.1048
,,,,13,Low density,884476,0.141
,,,,11,Low density,1977654,0.1364
,,,,20,Low density,871437,0.1
,,,,3,Too few nodes,741726,0.5
,,,,3,Too few nodes,1104671,0.3333
,,,,4,Too few nodes,178628,0.25
,,,,3,Too few nodes,1635679,0.3333
,,,,92,Low density,1517854,0.0245
,,,,8,Low density,381126,0.1607
,,,,55,Low density,36215,0.0397
,,,,708,Low density,1850525,0.0151
,,,,2,Too few nodes,1724745,0.5
,,,,10,Low density,1943125,0.1556
,,,,66,Low density,1617991,0.0385
,,,,23,Low density,1049640,0.1344
,,,,75,Low density,482032,0.0638
,,,,4,Too few nodes,1754488,0.25
,,,,7,Low density,992360,0.1429
,,,,4,Too few nodes,683733,0.25
,,,,76,Low density,1929595,0.0332
,,,,165,Low density,1821724,0.0232
,,,,27,Low density,1314680,0.0627
,,,,12,Low density,1085179,0.0909
,,,,40,Low density,264614,0.0628
,,,,3,Too few nodes,1028532,0.3333
,,,,10,Low density,944704,0.1556
,,,,19,Low density,1040033,0.1696
,,,,1,Too few nodes,1461655,0
,,,,1,Too few nodes,1301333,0
,,,,47,Low density,470373,0.0823
,,,,17,Low density,399129,0.0662
,,,,21,Low density,1789033,0.0714
,,,,8,Low density,691592,0.125
,,,,7,Low density,1301721,0.1429
,,,,424,Low density,34301,0.0276
,,,,33,Low density,70018,0.0758
,,,,32,Low density,465118,0.0393
,,,,79,Low density,491483,0.085
,,,,15,Low density,652157,0.0714
,,,,996,Low density,403707,0.0085
,,,,66,Low density,1295670,0.0357
,,,,17,Low density,1552410,0.0809
,,,,40,Low density,187113,0.0417
,,,,1,Too few nodes,1309571,0
,,,,19,Low density,1258590,0.0702
,,,,12,Low density,720413,0.1515
,,,,3,Too few nodes,485098,0.3333
,,,,43,Low density,1883241,0.052
,,,,17,Low density,43656,0.1213
,,,,1,Too few nodes,1174401,0
,,,,282,Low density,563592,0.0155
,,,,13,Low density,1718592,0.1026
,,,,125,Low density,128229,0.0295
,,,,57,Low density,1345314,0.0294
,,,,42,Low density,1262313,0.0738
,,,,6,Low density,743476,0.1667
,,,,31,Low density,460508,0.071
,,,,1558,Low density,283186,0.006
,,,,1,Too few nodes,1650855,0
,,,,16,Low density,1385992,0.15
,,,,10,Low density,574010,0.1444
,,,,12,Low density,1645709,0.0833
,,,,4,Too few nodes,1338009,0.25
,,,,1,Too few nodes,1745009,0
,,,,9,Low density,981541,0.1528
,,,,1664,Low density,817098,0.0066
,,,,1,Too few nodes,1181501,0
,,,,2,Too few nodes,725918,0.5
,,,,4,Too few nodes,706267,0.25
,,,,3,Too few nodes,1761078,0.3333
,,,,10,Low density,939479,0.1556
,,,,4,Too few nodes,788485,0.25
,,,,3,Too few nodes,135180,0.3333
,,,,67,Low density,1288752,0.0362
,,,,10,Low density,644529,0.1111
,,,,4,Too few nodes,1092871,0.25
,,,,237,Low density,148967,0.0175
,,,,168,Low density,1661531,0.0444
,,,,7,Low density,502756,0.1667
,,,,38,Low density,1221121,0.0356
,,,,16,Low density,1484279,0.0833
,,,,9,Low density,116559,0.125
,,,,43,Low density,1699825,0.0609
,,,,27,Low density,1247048,0.0413
,,,,307,Low density,822272,0.0272
,,,,2,Too few nodes,1423548,0.5
,,,,11,Low density,1766351,0.1727
,,,,62,Low density,1898380,0.0338
,,,,14,Low density,202376,0.0714
,,,,8,Low density,1970667,0.1429
,,,,14,Low density,496102,0.0714
,,,,2,Too few nodes,1079433,0.5
,,,,11,Low density,709303,0.1091
,,,,54,Low density,34406,0.0363
,,,,34,Low density,1118079,0.0704
,,,,2,Too few nodes,690657,0.5
,,,,41,Low density,1695747,0.028
,,,,17,Low density,694676,0.0662
,,,,3,Too few nodes,952594,0.3333
,,,,1,Too few nodes,1503458,0
,,,,114,Low density,1895426,0.0181
,,,,14,Low density,508320,0.1099
,,,,865,Low density,1936086,0.0103
,,,,561,Low density,26757,0.0085
,,,,19,Low density,1699709,0.1111
,,,,24,Low density,491943,0.0851
,,,,1,Too few nodes,1577229,0
,,,,11,Low density,1750854,0.1182
,,,,8,Low density,1519561,0.125
,,,,4,Too few nodes,940647,0.25
,,,,81,Low density,805348,0.0231
,,,,50,Low density,342463,0.0327
,,,,7,Low density,305585,0.1667
,,,,190,Low density,1355620,0.0249
,,,,6,Low density,850314,0.1667
,,,,4,Too few nodes,736721,0.25
,,,,84,Low density,833945,0.0425
,,,,91,Low density,1853722,0.0383
,,,,11,Low density,824034,0.0909
,,,,10,Low density,1270811,0.1
,,,,1,Too few nodes,1335369,0
,,,,220,Low density,1850902,0.0198
,,,,15,Low density,547329,0.0667
,,,,18,Low density,1800928,0.0654
,,,,1,Too few nodes,1322853,0
,,,,46,Low density,478132,0.0623
,,,,18,Low density,799974,0.1536
,,,,73,Low density,1721098,0.0274
,,,,24,Low density,51494,0.0725
,,,,9,Low density,1270676,0.125
,,,,3,Too few nodes,1484984,0.3333
,,,,15,Low density,868099,0.1381
,,,,147,Low density,180007,0.0233
,,,,3,Too few nodes,706003,0.3333
,,,,11,Low density,14469,0.1545
,,,,4,Too few nodes,396871,0.25
,,,,32,Low density,864463,0.0474
,,,,1,Too few nodes,1170504,0
,,,,2,Too few nodes,756953,0.5
,,,,7,Low density,277116,0.1429
,,,,2,Too few nodes,1307249,0.5
,,,,26,Low density,1918119,0.1677
,,,,4,Too few nodes,932533,0.25
,,,,21,Low density,1398773,0.0833
,,,,17,Low density,1809007,0.0735
,,,,28,Low density,1453610,0.0397
,,,,3,Too few nodes,836950,0.3333
,,,,126,Low density,556144,0.0183
,,,,580,Low density,1931305,0.0129
,,,,75,Low density,1382117,0.0186
,,,,102,Low density,1603930,0.0451
,,,,1,Too few nodes,1150089,0
,,,,8,Low density,1072704,0.1429
,,,,44,Low density,560962,0.0655
,,,,130,Low density,1615529,0.041
,,,,13,Low density,477051,0.0769
,,,,12,Low density,839361,0.1591
,,,,10,Low density,988652,0.1
,,,,76,Low density,477600,0.0482
,,,,2,Too few nodes,1368669,0.5
,,,,21,Low density,636601,0.0524
,,,,12,Low density,1975434,0.0833
,,,,14,Low density,562,0.1209
,,,,32,Low density,1318636,0.0514
,,,,25,Low density,497359,0.0417
,,,,1,Too few nodes,1292545,0
,,,,23,Low density,1698172,0.0553
,,,,17,Low density,1024370,0.1029
,,,,3,Too few nodes,1366014,0.3333
,,,,37,Low density,1433207,0.0676
,,,,4,Too few nodes,239135,0.3333
,,,,8,Low density,948495,0.1429
,,,,58,Low density,1936212,0.0635
,,,,15,Low density,1834068,0.1095
,,,,32,Low density,1597116,0.0554
,,,,293,Low density,1102913,0.0163
,,,,1,Too few nodes,1384707,0
,,,,134,Low density,1814041,0.0157
,,,,17,Low density,409708,0.1066
,,,,16,Low density,167976,0.1208
,,,,21,Low density,160147,0.0833
,,,,8,Low density,844856,0.1786
,,,,12,Low density,1953726,0.1364
,,,,3,Too few nodes,1468420,0.5
,,,,18,Low density,1560352,0.0719
,,,,2,Too few nodes,1059551,0.5
,,,,28,Low density,801033,0.1243
,,,,92,Low density,1796522,0.0363
,,,,25,Low density,1858083,0.11
,,,,6,Low density,808263,0.1667
,,,,17,Low density,436697,0.0588
,,,,600,Low density,1931230,0.0155
,,,,2,Too few nodes,1606460,0.5
,,,,433,Low density,959582,0.0222
,,,,23,Low density,910460,0.0771
,,,,138,Low density,497832,0.0509
,,,,1,Too few nodes,1564473,0
,,,,175,Low density,1811119,0.032
,,,,55,Low density,1490313,0.0377
,,,,47,Low density,1222501,0.0389
,,,,28,Low density,390336,0.0437
,,,,11,Low density,250823,0.1
,,,,16,Low density,1120282,0.0625
,,,,8,Low density,464528,0.1786
,,,,1,Too few nodes,1654621,0
,,,,65,Low density,1764727,0.0339
,,,,18,Low density,1718097,0.0817
,,,,11,Low density,1979675,0.1636
,,,,33,Low density,1247432,0.0502
,,,,24,Low density,1616546,0.0851
,,,,20,Low density,295799,0.0579
,,,,206,Low density,404243,0.0197
,,,,1,Too few nodes,1160267,0
,,,,122,Low density,1783923,0.0276
,,,,65,Low density,968518,0.0647
,,,,62,Low density,177708,0.0391
,,,,36,Low density,903528,0.0841
,,,,9,Low density,1098030,0.1806
,,,,8,Low density,290346,0.1429
,,,,1,Too few nodes,1144026,0
,,,,1,Too few nodes,1360678,0
,,,,1,Too few nodes,1376411,0
,,,,2,Too few nodes,992746,0.5
,,,,54,Low density,1522741,0.029
,,,,19,Low density,1854504,0.0994
,,,,30,Low density,1672556,0.0529
,,,,1,Too few nodes,1152073,0
,,,,3,Too few nodes,625843,0.3333
,,,,14,Low density,271686,0.0879
,,,,1,Too few nodes,1202583,0
,,,,54,Low density,1909095,0.0584
,,,,123,Low density,1912415,0.0368
,,,,138,Low density,444585,0.0373
,,,,49,Low density,1737120,0.0327
,,,,25,Low density,1213095,0.0433
,,,,18,Low density,1687858,0.0817
,,,,10,Low density,1339283,0.1111
